Signe,,,,,,,Informations,,,,,Validation,,,,,,Traitement vidéo,,,,,,
Domaine,Sous-domaine,Mot,N°ID,N° Signe,Définition,Explication,Date,Nom,Prénom,Origine,Version,Format,Clarté,Total,Remarques,,,Téléchargé,Monté,Miniature,YouTube,Site Web,Lien YouTube,
Santé,Affections,Fibrome,107,1,non,oui,13/05/2018,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/rwHPg-ldO_Q,
Santé,Affections,Nodule,108,1,non,non,13/05/2018,,,Séminaire,mov,1,0,1,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/Mp1vSJjqiNg,
Santé,Affections,Cancer,109,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/jpo0IEJyMQ4,
Santé,Affections,Neuroleptique,110,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/t_8r3lUiqMA,
Santé,Affections,Œdème,111,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/WrMkmdy47t4,
Santé,Anatomie,Diaphragme,112,1,non,non,13/05/2018,,,Séminaire,mov ,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/OsDZGtHq4XQ,
Santé,Anatomie,Vésicule biliaire,113,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ; refait par Martin,,,oui,oui,oui,oui,oui,https://youtu.be/yzQhqBfa-RY,
Santé,Physiologie,Insuline,114,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/B-JrUt_U7vA,
Santé,Physiologie,Marqueur biologique,115,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ; trop sombre,,,oui,oui,oui,oui,oui,https://youtu.be/mSussAY90os,
Santé,Physiologie,Plaquettes,116,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/XAGB-RxrGK4,
Santé,Traitements,Psychotrope,117,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,non,https://youtu.be/tBnANjS1Bsk,
Technologie,Aéronautique,Roulis,118,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,oui,https://youtu.be/wdDlwGQtaek,
